"country","year","sex","age","suicides_no","population","suicides.100k.pop","gdp_for_year....","gdp_per_capita....","generation","NV.SRV.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.AGR.TOTL.ZS"
"Albania",1997,"male","5-14 years",4,381500,1.05,2359903108,793,"Millenials",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","35-54 years",7,370100,1.89,2359903108,793,"Boomers",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","5-14 years",6,361800,1.66,2359903108,793,"Millenials",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"male","15-24 years",33,244400,13.5,2359903108,793,"Generation X",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","55-74 years",0,187000,0,2359903108,793,"Silent",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","25-34 years",16,273900,5.84,2359903108,793,"Generation X",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"male","35-54 years",30,380800,7.88,2359903108,793,"Boomers",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","15-24 years",21,294000,7.14,2359903108,793,"Generation X",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"male","75+ years",3,25400,11.81,2359903108,793,"G.I. Generation",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"male","55-74 years",12,180300,6.66,2359903108,793,"Silent",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"female","75+ years",2,42100,4.75,2359903108,793,"G.I. Generation",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1997,"male","25-34 years",36,236000,15.25,2359903108,793,"Generation X",42.3159807318516,18.1097656674433,4.58342890946626,31.5434438797069
"Albania",1998,"female","5-14 years",1,363800,0.27,2707123772,899,"Millenials",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"female","75+ years",0,42300,0,2707123772,899,"G.I. Generation",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","35-54 years",29,388200,7.47,2707123772,899,"Boomers",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","15-24 years",27,248800,10.85,2707123772,899,"Generation X",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"female","15-24 years",32,295600,10.83,2707123772,899,"Generation X",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","25-34 years",26,240400,10.82,2707123772,899,"Generation X",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"female","35-54 years",9,372100,2.42,2707123772,899,"Boomers",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","55-74 years",9,183800,4.9,2707123772,899,"Silent",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"female","25-34 years",10,275300,3.63,2707123772,899,"Generation X",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","5-14 years",2,388400,0.51,2707123772,899,"Millenials",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"male","75+ years",3,25800,11.63,2707123772,899,"G.I. Generation",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1998,"female","55-74 years",6,188200,3.19,2707123772,899,"Silent",43.9942522762233,15.3468382322371,4.72394295929822,28.7856504386147
"Albania",1999,"male","75+ years",3,25900,11.58,3414760915,1127,"G.I. Generation",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","55-74 years",6,188800,3.18,3414760915,1127,"Silent",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
